trait	trait_id	annotation	published_label	is_primary	annotation_interpretation	enrichment_off	enrichment_on	absolute_change	relative_change_percent	annotation_h2_off	annotation_h2_on	annotation_weight_sum	annotation_weight_fraction	status_off	status_on	optimizer
weight	21002_irnt	Recomb_Rate_10kb		False	type_not_verified	0.903353497654995	0.9092156585108608	0.005862160855865883	0.648933210651581	0.39712430169711394	0.4002277073270822	11030007.319450203	1.5280965678045926	stationary	stationary	ai
weight	21002_irnt	Nucleotide_Diversity_10kb		False	type_not_verified	0.8430146912307613	0.843502332233837	0.00048764100307563396	0.05784489975657614	1.069984616675029	1.072013338724926	31845601.595034003	4.411887779188669	stationary	stationary	ai
weight	21002_irnt	Backgrd_Selection_Stat		False	type_not_verified	1.4084253488652725	1.4059462634500908	-0.0024790854151817143	-0.17601823321193866	0.07406160525973851	0.07402859735703023	1319369.2410000006	0.18278533734822092	stationary	stationary	ai
weight	21002_irnt	CpG_Content_50kb		False	type_not_verified	1.2106900638172353	1.2105660972644576	-0.00012396655277768787	-0.01023933015414924	0.003449465282319858	0.0034536539346560883	71486.80165521296	0.009903777313005777	stationary	stationary	ai
weight	21002_irnt	MAF_Adj_ASMC		False	type_not_verified	35.39392765412992	35.18315836918751	-0.21076928494240832	-0.595495608744101	-0.12327749551191958	-0.1227047508296533	-87390.07473948754	-0.012107015834351607	stationary	stationary	ai
weight	21002_irnt	GTEx_eQTL_MaxCPP		False	type_not_verified	4.269773646403633	4.250189328285921	-0.019584318117711774	-0.4586734506220824	0.009894515618665212	0.009862101621471484	58142.90851	0.008055115138467208	stationary	stationary	ai
weight	21002_irnt	BLUEPRINT_H3K27acQTL_MaxCPP		False	type_not_verified	2.3898527032335446	2.393353700259767	0.003500997026222308	0.14649425972927954	0.009135335634398214	0.009160765577999155	95909.23801300001	0.013287260215138676	stationary	stationary	ai
weight	21002_irnt	BLUEPRINT_H3K4me1QTL_MaxCPP		False	type_not_verified	2.7656601716516507	2.7688297022100223	0.003169530558371658	0.11460303730947974	0.008439033986053415	0.008459830786564586	76559.83474299996	0.01060659501976618	stationary	stationary	ai
weight	21002_irnt	BLUEPRINT_DNA_methylation_MaxCPP		False	type_not_verified	2.864122641897547	2.857500399016673	-0.006622242880874207	-0.23121366326991355	0.020803960144779844	0.020783190244214763	182247.45379400006	0.025248551571008308	stationary	stationary	ai
weight	21002_irnt	synonymous		False	type_not_verified	2.765168372903643	2.9271257984988703	0.1619574255952272	5.8570547523353556	0.0026252731881441158	0.0027826963632455585	23821.0	0.0033001599443623596	stationary	stationary	ai
weight	21002_irnt	non_synonymous		False	type_not_verified	18.192274608714552	17.916922462789135	-0.27535214592541735	-1.5135663453184511	0.01566803761798537	0.015451211156451605	21609.0	0.002993709593960213	stationary	stationary	ai
weight	21002_irnt	Conserved_Vertebrate_phastCons46way		False	type_not_verified	8.489692680464055	8.375940354822315	-0.1137523256417392	-1.3398874367207547	0.07455220760678033	0.07365014827625159	220331.0	0.030524643831128125	stationary	stationary	ai
weight	21002_irnt	Conserved_Vertebrate_phastCons46way.flanking.500		False	type_not_verified	1.2113459206351525	1.22547830961332	0.014132388978167487	1.166668309805119	0.13578470898604086	0.13754975601481173	2812482.0	0.3896410915007824	stationary	stationary	ai
weight	21002_irnt	Conserved_Mammal_phastCons46way		False	type_not_verified	10.040362422612729	9.906148296916443	-0.13421412569628544	-1.3367458269634813	0.06932149738567418	0.06848490875720302	173231.0	0.023999412590648417	stationary	stationary	ai
weight	21002_irnt	Conserved_Mammal_phastCons46way.flanking.500		False	type_not_verified	1.3988369207174596	1.408386425384613	0.00954950466715343	0.6826746224467328	0.1333252002104656	0.1344121411414003	2391400.0	0.3313044158913625	stationary	stationary	ai
