annotation	exact	screened	absolute_change	relative_change_percent
Conserved_Mammal_phastCons46way.flanking.500	1.408386425384613	1.408209222776262	-0.00017720260835107915	-0.01258195940809781
Conserved_Primate_phastCons46way	11.30625150588515	11.30614758666038	-0.00010391922477026583	-0.0009191306660438769
Conserved_Primate_phastCons46way.flanking.500	2.2024415210669654	2.2024428806089285	1.3595419630085814e-06	6.172885635979952e-05
BivFlnk	6.126309160405275	6.126256523963457	-5.263644181763283e-05	-0.0008591868356555565
BivFlnk.flanking.500	2.6649207564190767	2.6650004372709044	7.968085182774587e-05	0.0029899895385598896
Human_Promoter_Villar	5.6205996925537685	5.620703980176225	0.00010428762245684453	0.001855453655497108
Human_Promoter_Villar.flanking.500	1.3103537759767114	1.3099059721292603	-0.00044780384745113366	-0.034174270770304105
Human_Enhancer_Villar	1.8127145736798065	1.8127502989316242	3.5725251817719794e-05	0.001970815060259312
Human_Enhancer_Villar.flanking.500	0.9378407763965311	0.9372130674850526	-0.0006277089114784529	-0.0669312880476669
Ancient_Sequence_Age_Human_Promoter	13.62093311721484	13.621668076608557	0.0007349593937178156	0.005395807962593757
Ancient_Sequence_Age_Human_Promoter.flanking.500	4.391551098042281	4.391621388304704	7.029026242300063e-05	0.0016005794047257993
Ancient_Sequence_Age_Human_Enhancer	4.914970934601123	4.9153748436780464	0.0004039090769234477	0.008217934191234733
Ancient_Sequence_Age_Human_Enhancer.flanking.500	2.240791222766103	2.240344879903751	-0.0004463428623520116	-0.019918984768296788
Human_Enhancer_Villar_Species_Enhancer_Count	2.5707074113914627	2.5706987052338386	-8.706157624160937e-06	-0.00033866777625624067
Human_Promoter_Villar_ExAC	11.124789607739345	11.124077142317361	-0.0007124654219836657	-0.006404304684448636
Human_Promoter_Villar_ExAC.flanking.500	0.5993806606259072	0.6083313298892021	0.008950669263294908	1.4933196633251544
